sep=;
type;sourcename;sourceversion;device;unit;creationdate;startdate;enddate;value
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 10:33:47 +0300;2023-04-27 11:33:47 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:16:05 +0300;2023-04-27 11:33:47 +0300;2023-04-27 12:15:45 +0300;51.692
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 12:31:55 +0300;2023-04-27 12:15:45 +0300;2023-04-27 12:15:55 +0300;0.21
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:08:25 +0300;2023-04-27 12:15:55 +0300;2023-04-27 13:15:55 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:08:25 +0300;2023-04-27 13:15:55 +0300;2023-04-27 14:15:55 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:08:25 +0300;2023-04-27 14:15:55 +0300;2023-04-27 15:15:55 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:08:25 +0300;2023-04-27 15:15:55 +0300;2023-04-27 16:15:55 +0300;73.911
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:08:25 +0300;2023-04-27 16:15:55 +0300;2023-04-27 17:08:10 +0300;64.359
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:24:20 +0300;2023-04-27 17:08:10 +0300;2023-04-27 17:08:20 +0300;0.21
HKQuantityTypeIdentifierBasalEnergyBurned;Denizhan iPhone (2);16.3;<<HKDevice: 0x2837f7f20>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone14,7, software:16.3>;kcal;2023-04-27 17:40:27 +0300;2023-04-27 17:08:20 +0300;2023-04-27 17:08:41 +0300;0.42
